id,degree_name,description,start_date,end_date,study_type,is_verified,is_verified_degree_type,is_verified_school,created_by,created_at,updated_at,degree_type_id,school_id,resource_id
8,japanese business,a study program in japanese business at waseda university.,2023-01-01 00:00:00,2023-12-31 00:00:00,0,0,0,0,,2024-09-11 10:15:11,2024-09-11 10:15:11,5,29.0,8
9,executive mba,"executive mba program at essec & mannheim business schools, including global business and public policymaking at georgetown university and sustainability and leadership at eada business school.",2022-01-01 00:00:00,2022-12-31 00:00:00,0,0,0,0,,2024-09-11 10:15:11,2024-09-11 10:15:11,3,30.0,8
10,"engineer, software and data architect",engineering in software and data architect at polytechnique nantes.,2008-01-01 00:00:00,2008-12-31 00:00:00,0,0,0,0,,2024-09-11 10:15:11,2024-09-11 10:15:11,8,31.0,8
11,it bachelor,bachelor's degree in it at nantes university.,2005-01-01 00:00:00,2005-12-31 00:00:00,0,0,0,0,,2024-09-11 10:15:11,2024-09-11 10:15:11,2,32.0,8
12,mathematics degree,degree in mathematics at nantes university.,2004-01-01 00:00:00,2004-12-31 00:00:00,0,0,0,0,,2024-09-11 10:15:11,2024-09-11 10:15:11,2,32.0,8
13,second year master's degree in organisational and ,i am currently pursuing my second year master's degree at ibn tofail university. the studies focus on organisational and strategic management.,2023-01-01 00:00:00,,0,0,0,0,,2024-09-11 10:16:19,2024-09-11 10:16:19,3,33.0,9
14,bachelor's degree in marketing and commerce,completed a bachelor's degree focusing on marketing strategies and commerce principles at ibn tofail university.,2021-10-01 00:00:00,2022-07-01 00:00:00,0,0,0,0,,2024-09-11 10:16:19,2024-09-11 10:16:19,2,33.0,9
15,advanced technician's certificate (bts) in managem,achieved a bts certification for managing small and medium-sized enterprises and industries.,2019-10-01 00:00:00,2021-07-01 00:00:00,0,0,0,0,,2024-09-11 10:16:19,2024-09-11 10:16:19,5,34.0,9
16,high school diploma in economics and management,obtained a high school diploma specializing in economics and management.,2018-09-01 00:00:00,2019-06-01 00:00:00,0,0,0,0,,2024-09-11 10:16:19,2024-09-11 10:16:19,1,35.0,9
17,diplôme d’ingénieur d’etat en informatique et rése,"programme d'étude couvrant l'informatique, les réseaux et l'option miage, y compris l'apprentissage de plusieurs langages de programmation et compétences techniques.",2020-09-01 00:00:00,,0,0,0,0,,2024-09-11 10:16:32,2024-09-11 10:16:32,7,36.0,10
