id,name,description,activity_name,email,phone_number,is_verified,created_by,created_at,updated_at,counterparty_id
12,ARGOTEAM,"Argoteam is a consultancy company offering services in strategy, finance, marketing, it, and human resources.",consulting,info@argoteamgroup.com,+21254879874,0,,2024-09-11 10:15:45,2025-01-22 07:34:19,25
13,CELLVICES,cellvices provides pre-approved manufacturing facilities rental service in the cell and gene therapy field.,healthcare,,,0,,2024-09-11 10:15:45,2025-01-22 07:34:30,26
14,cityfront – synechron,cityfront – synechron is a consulting firm specializing in financial and technology solutions.,consulting,,,0,,2024-09-11 10:15:45,2024-09-11 10:15:45,27
15,vanilla - cognitis – gfi informatique,"vanilla - cognitis – gfi informatique is a consulting firm specializing in financial, technology, and information services.",consulting,,,0,,2024-09-11 10:15:45,2024-09-11 10:15:45,28
16,capgemini telecom & media,capgemini telecom & media is a consulting firm specializing in telecommunications and media sectors.,telecommunications,,,0,,2024-09-11 10:15:45,2024-09-11 10:15:45,29
17,3wdev sarl,3wdev sarl is a software development company specializing in web development and it solutions.,information technology (it),,,0,,2024-09-11 10:15:45,2024-09-11 10:15:45,30
18,bank of jordan,bank of jordan is a retail bank offering banking services to individuals and businesses.,banking,,,0,,2024-09-11 10:15:45,2024-09-11 10:15:45,31
19,oncf-cmrk,office national des chemins de fer (oncf) - morocco's national railway operator,transportation,,,0,,2024-09-11 10:16:27,2024-09-11 10:16:27,35
20,master bec,commercial and retail business,commerce,,,0,,2024-09-11 10:16:27,2024-09-11 10:16:27,36
21,leyacom solutions,leyacom solutions est une entreprise spécialisée dans le développement de solutions web.,information technology (it),,,0,,2024-09-11 10:16:56,2024-09-11 10:16:56,37
22,armada systems,armada systems est une entreprise spécialisée dans le développement de solutions web.,information technology (it),,,0,,2024-09-11 10:16:56,2024-09-11 10:16:56,38
23,école supérieure de linformatique et de l'informa,école spécialisée dans la formation d'ingénieurs en informatique.,education,,,0,,2024-09-11 10:16:57,2024-09-11 10:16:57,39
24,freelance,autonome et auto-géré.,information technology (it),,,0,,2024-09-11 10:16:57,2024-09-11 10:16:57,40
